trial,step,feedback_type,preupdate_max_cosine_to_liked,preupdate_angle_deg_to_liked,nearest_centroid_idx,feed_mean_similarity,feed_mean_similarity_to_target,feed_mean_relevance_at_20,feed_strict_precision_at_20,feed_soft_precision_at_20,picked_paper_true_relevance,picked_paper_target_similarity
2,10,like,0.9388434886932373,20.141766288753434,0,0.9663199186325073,0.9276830554008484,0.6000000238418579,0.4,0.8,1.0,0.9455214738845825
2,11,like,0.9555277824401855,17.151606808799993,0,0.9672977328300476,0.9263635873794556,0.6000000238418579,0.4,0.8,1.0,0.9569181799888611
2,12,like,0.9463711977005005,18.849374370151303,0,0.966535210609436,0.9276830554008484,0.6000000238418579,0.4,0.8,1.0,0.9514011144638062
3,1,save,0.9374468922615051,20.37287719928402,0,0.9642061591148376,0.9073569774627686,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9533576965332031
3,2,like,0.9328941702842712,21.109446225973596,0,0.9637086391448975,0.9073570370674133,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9435536861419678
3,3,save,0.9416278600692749,19.673243817322064,0,0.9624009132385254,0.9073570370674133,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9447271227836609
3,4,save,0.9489078521728516,18.394219514819913,0,0.9613568186759949,0.9068138003349304,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9525701999664307
3,5,save,0.946427047252655,18.839467409412595,0,0.959986686706543,0.9072882533073425,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9502108097076416
3,6,save,0.9431495666503906,19.41260386871907,0,0.9608606696128845,0.9090418815612793,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9490503072738647
3,7,like,0.9487549066543579,18.421969996200882,0,0.9611563682556152,0.9077844619750977,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9505792260169983
3,8,save,0.944907546043396,19.10724187551069,0,0.9600846767425537,0.9070382118225098,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9494853019714355
3,9,save,0.9512441158294678,17.965184042626444,0,0.9656002521514893,0.8871060013771057,0.5,0.5,0.5,1.0,0.9479257464408875
3,10,like,0.9494068622589111,18.303396537963696,0,0.966284990310669,0.8860359191894531,0.5,0.5,0.5,1.0,0.9493187665939331
3,11,like,0.9379342794418335,20.29251006195425,0,0.9663350582122803,0.8860359191894531,0.5,0.5,0.5,1.0,0.9523211717605591
3,12,like,0.9398019909858704,19.981670067383547,0,0.9664427042007446,0.8889925479888916,0.5,0.5,0.5,1.0,0.953126072883606
4,1,like,0.9292672872543335,21.679114951227362,0,0.9632983207702637,0.9069592952728271,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9505515098571777
4,2,like,0.9369874000549316,20.448367614745152,0,0.9629830718040466,0.9067731499671936,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9409949779510498
4,3,like,0.926497220993042,22.104782967762734,0,0.9623287320137024,0.9067731499671936,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9454213976860046
4,4,save,0.9517112970352173,17.87819655734916,0,0.961796224117279,0.9050777554512024,0.5,0.3333333333333333,0.6666666666666666,1.0,0.949210524559021
4,5,save,0.9531195163726807,17.613477417339556,0,0.9613044857978821,0.9043962955474854,0.5,0.3333333333333333,0.6666666666666666,1.0,0.9524885416030884
